Keyword,Owner,Long URL
3i,Hall002J,http://3i.eps.siemens.com
3i-Windpower,Hall002J,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/organisation/SBST20050826144047/STWR20110916142944/STWR20110927210338/MTTO20111101115818
4success,???,https://intranet.siemens.com/4success
Adminology,???,https://workspace-orla.ww007.siemens.net/content/10005464/default.aspx
adminsR1,???,https://workspace-orla.ww007.siemens.net/content/10005464/default.aspx
AMGuide,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Lists/IT%20Architecture%20ToolKit/AllItems.aspx
ApacheHTTP,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/servers/Apache%20HTTP/Forms/AllItems.aspx
ApacheTomcat,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/servers/Apache%20Tomcat
arb,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/processestools/supportbusiness/NCLB20070206084720/NCLB20070206091541/MCHL20051102093635/MCHL20051107103602/MCHL20051107103602_h
arbmeetings,Kastnejr,https://workspace.ww007.siemens.net/content/00000565/default.aspx
AskHR,JANUS00N,https://intranet.gss.siemens.com/askhrondemand
ATLAS,JANUS00N,https://epm.siemens.com/prj01/1310/default.aspx
BenefitsQuickStart,???,http://usa.siemens.com/benefitsquickstart
BI-VTSP,???,https://workspace.ww007.siemens.net/content/10002164/Doclib/07%20%2d%20Methodologies%2fBI%2dVTSP%2dBI%20Visualization%20Tool%20Selection%20Process
BRG,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=CRLL20050624150728&lang=en
BRIDGE,Hall002J,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/initiativesandprograms/KTHR20081110160346/WNDY20120112102347
BTAT,Kastnejr,https://businesstravel.siemens.com/Default.aspx
CAPA,???,https://intranet.esoa.energy.siemens.com/capa
CEPDiagram,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/CEP/Forms/AllItems.aspx
CharComm,Hall002J,https://workspace-orla.ww007.siemens.net/content/10006936
CharlotteCaringHands,Hall002J,http://usclt00p200/EmployeeServices/CaringHands/tabid/136/Default.aspx
CharlotteDiversity,Hall002J,http://usclt00p200/EmployeeServices/DiversityCouncil/tabid/137/Default.aspx
CharQuality,Hall002J,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/organisation/SBST20050826144047/KTHR20080724090513/RMNB20120508171959/GRHR20050923133043/MRNG20040914150356/SHYL20070123140620/BNBS20120313135321
Circulars,Kastnejr,https://circulars.siemens.com/content/circulars/English/search/Pages/CircularSearch.aspx
Classifieds,Hall002J,http://usclt00p200:4001
CLC,Hall002J,https://workspace-orla.ww007.siemens.net/content/10006356/default.aspx
cloud,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/servers/CloudSaaSPaaSIaasDaaS/Forms/AllItems.aspx
CLTW-BuildRoom,Macer00T,https://workspace.ww007.siemens.net/content/10007033/CLTWBuildRoom/default.aspx
CodingGuidelines,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Guidelines%20%20Circulars/Forms/AllItems.aspx
Compliance,???,https://workspace-orla.ww007.siemens.net/content/00001286/Gifts%20and%20Hospitality%20Scorecard/Forms/AllItems.aspx
Computerpolicy,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/energy/public/en/home/energy/redirect?loadRefNo=RBRT20050503103026-RBRT20041025133254&lang=EN
ConferenceRooms,Kastnejr,Notes://SORL9002/852564C800482EC4/B753F2BE716005B2852561B900743BE4
CPD,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/processestools/supportbusiness/ERCH20080129204253/ERCL20090212110734
developers,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/default.aspx
DisasterRelief,???,http://intra.sc.siemens.com/caringhands/disrel.php
Disney,???,http://intra.sc.siemens.com/disney
Diversity,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=CRLL20050204135555&lang=en
DocServices,Rowe000l,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=JNTG20050527171926&lang=en
EAP,???,http://www.cignabehavioral.com/
EAR-edit,Kastnejr,http://eartest.siemens.com/
EAR-read,Kastnejr,http://eartest.siemens.com:81/
EAR-reports,Kastnejr,http://ea-reports-test.siemens.com/reports/Pages/Folder.aspx
EBP,???,https://intranet-energy.eps.siemens.com/irj/portal/energy/private/en/home/energy/redirect?loadRefNo=TST120100125151040-KRST20081110110414
ECC,???,https://intra.sc.siemens.com/ecc/aboutus.php#Entities
E-CC-NAM,???,https://intranet-energy.eps.siemens.com/irj/portal/energy/private/en/home/energy/redirect?loadRefNo=ANDR20060922104225-KRST20040722181743
E-D-EA,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/organisation/SBST20050826144047/KTHR20080724104606/MLTV20081107115557/MLTV20081107115557_h
EHS,Ghorb00M,https://intranet-energy.eps.siemens.com/irj/portal/ei/private/en/processestools/supportbusiness/EDWN20040831104144/TRTN20060601112303/HRLD20060309095204/CNND20110707080102
eit,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=NCLB20100526082816&lang=en
eitst,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/default.aspx
eitstcommunication,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/E%20IT%20ST%20Internal/E%20IT%20ST%201-2-3%20collaboration/
EL-Live,???,https://blogs.eps.siemens.com/sebs/EL-Live/
EmailTransformation,Kastnejr,https://workspace.ww007.siemens.net/content/00000597/InfrastructureServices/E-Mail/Lists/ListOfApplications/AllItems.aspx
EnergyAmericasDominoServers,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Lotus/Document%20Library/Forms/AllItems.aspx?RootFolder=%2fcontent%2f00000558%2fLotus%2fDocument%20Library%2fServer%20Info
EnergyCollective,Hall002J,http://theenergycollective.com/
EnergyNet,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/EnergyNet/Forms/AllItems.aspx
energyspeakeasy,helwi00s,http://uslzua4003xweb.ww007.siemens.net:16000/apps/speakeasytm/SitePages/Home.aspx
engineersweek,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/initiativesandprograms/KTHR20081203131442/HRLD20050216110241/HRLD20050203143301/HRLD20050203143301_h
enprojects-support,Hall002J,https://workspace.ww007.siemens.net/content/10005303/EN/default.aspx
eTrue,???,https://blogs.eps.siemens.com/sebs/eTrue/
EWeek,Rowe000l,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=HRLD20050203143301&lang=en
ExpertsDayFeedback2010,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Lists/IT%20Experts%20Day%20Erlangen%202010%20Feedback/overview.aspx
ExpertsDaysAmericas2010,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202010/Americas/Final%20Presentations
ExpertsDaysAmericas2011,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202011/Americas
ExpertsDaysAmericas2011Agenda,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20-%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202011/Americas/Agenda_ITExpertsDays2011_Orlando_provisional.pdf
ExpertsDaysAmericas2012,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202012/Americas
ExpertsDaysEMEA2010,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous%2fEvents%2fEnergy%20IT%20Experts%20Days%202010%2fEMEA
ExpertsDaysEMEA2011,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202011/EMEA
ExpertsDaysEMEA2011Agenda,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08 - Miscellaneous/Events/Energy IT Experts Days 2011/EMEA/Agenda_ITExpertsDays2011_Erlangen.pdf
ExpertsDaysEMEA2012,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202012/EMEA
ExpertsDaysErlangen2010,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous%2fEvents%2fEnergy%20IT%20Experts%20Days%202010%2fEMEA%2fSlides%5ffinal
ExpertsDaysPresentations2011,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20%2d%20Miscellaneous%2fEvents%2fEnergy%20IT%20Experts%20Days%202011%2fAmericas%2fFinal%20Presentations
ExpertsDaysSurvey2010,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Lists/IT%20Experts%20Days%202010Americas/overview.aspx
ExpertsDaysSurvey2011,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Lists/IT%20Experts%20Days%202011Americas/overview.aspx
ExpertsDaysTopicSurvey2011,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Lists/IT%20Experts%20Days%202011%20Americas%20Topic%20Survey/overview.aspx
EZClaim,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/organisation/HRLD20040607150239/KRST20081124174400/KRST20081125143309/KTRN20040726163304/KTRN20040726214705
Facilities,Kastnejr,https://workorder.cbre.com/CRSSiemens/login.aspx
FDM,???,http://apex.ww007.siemens.net/pls/apex/f?p=gfacts:home
FIDO,Ghorb00M,https://workspace-orla.ww007.siemens.net/content/10006235/default.aspx
Flashlights,grune01k,https://workspace.ww007.siemens.net/content/10007104/PSS/Lists/Flashlights/Flashlists.aspx
Foundation,???,http://intra.sc.siemens.com/siemenscares/generation21/
FRRG,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/initiativesandprograms/KTHR20081110160346/BRBR20080909125313/BRBR20080909125313_h
Gartner-Portals-Content-Collab09,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/02%20-%20Strategic%20Focus%20Topics/Portal/Gartner%20PCC%20-%20Trip%20Report.pdf
getfitchallenge,helwi00s,http://usorl01d135:200/pages/welcome.aspx
GetSocial,Hall002J,https://intra.sc.siemens.com/socialmedia/
globus,???,https://workspace.ww007.siemens.net/content/10004890/default.aspx
GoogleDay2012Survey,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/servers/Lists/Google%20Day%202012/overview.aspx
GotoURL,Kastnejr,http://usorl01t602.ww007.siemens.net/GotoURL.exe
gtengineeringoutsourcing,BalakrD,https://intranet-energy.eps.siemens.com/irj/portal/energy/public/en/home/energy/redirect?loadRefNo=MCHT20070927154152-ALSH20041213093806&lang=EN
GTMgrChar,Hall002J,https://workspace-orla.ww007.siemens.net/content/10006847/default.aspx
hwsw,Kastnejr,http://orla1bua.orla.siemens.com/domino/InfoTech/Wizard.nsf
hwswordering,Kastnejr,http://orla1bua.orla.siemens.com/domino/InfoTech/Wizard.nsf
infosec,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/de/bookmarks?loadRefNo=STFN20050204123753
innovation,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/innovation
IntranetPasswordCheck,Kastnejr,http://www.orla.siemens.com/domino/Workflow/IntranetPWCheck.nsf/web+pages/679E3ABB1314A2B9852568D30068F014
isec,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/de/bookmarks?loadRefNo=STFN20050204123753
ITACS,ShabatM,https://workspace.ww007.siemens.net/content/10002164/Doclib/07%20-%20Methodologies/ITACS
itaudits,Shah003K,https://workspace-orla.ww007.siemens.net/content/10005532/default.aspx
itcommunication,buchm00s,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/de/bookmarks?loadRefNo=MCHL20050908093802&lang=de
ITCorner,Macer00T,https://workspace.ww007.siemens.net/content/10007033/default.aspx
ITCorner-BackupUtility,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Using%20Auto%20Backup%20Utility.doc
ITCorner-DuplexingDoc,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Print%20Duplexing.doc
ITCorner-ITDemandDoc,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Customer%20Instructions%20for%20IT%20Demand.doc
ITCorner-ITMatrix,Macer00T,https://workspace.ww007.siemens.net/content/10007033/Lists/IT%20Help%20Matrix/Matrix.aspx
ITCorner-LaptopCare,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Laptop%20Care%20and%20Maintenance.pdf
ITCorner-ScdDoc,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/SCD_DataChangeHowTo.doc
ITCorner-SchedulingRooms,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Scheduling%20Conference%20Rooms.doc
ITCorner-ServiceDesk-CreateTicket,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Creating%20Service%20Desk%20Tickets.doc
ITCorner-ServiceDeskDoc,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/IT%20Service%20Desk%20v4.doc
ITCorner-Spam,Macer00T,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/processestools/security/NCLB20050202113239/STFN20050204123753
ITCorner-SpamDoc,Macer00T,https://workspace.ww007.siemens.net/content/10007033/PublicDocuments/Spam.doc
ITCorner-Survey,Macer00T,https://workspace.ww007.siemens.net/content/10007033/Lists/IT%20Knowledge%20Survey/NewForm.aspx?Source=https%3A%2F%2Fworkspace%2Eww007%2Esiemens%2Enet%2Fcontent%2F10007033%2FLists%2FIT%2520Knowledge%2520Survey%2Fsummary%2Easpx
ITDefinitions,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/EITcommunication/Glossary/default.aspx
ITDemand-ReportViewer,Macer00T,http://reportserverqa/ReportServer/Pages/ReportViewer.aspx?%2fITC%2fITC+IT+Demand+Report
ITExpertsDays,Macer00T,https://workspace.ww007.siemens.net/content/10002164/Doclib/08%20-%20Miscellaneous/Events/Energy%20IT%20Experts%20Days%202011/Americas/Agenda_ITExpertsDays2011_Orlando_provisional.pdf
itinfo,beer000n,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=NCLB20070206085217&lang=en
ITManuals,Macer00T,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/processestools/supportbusiness/NCLB20070206084720/NCLB20100114120842/FRTZ20050324084841
ITN,Kastnejr,https://itn.siemens.com/itaa/app/portal.jsp?model=PGGLOB&modelview=PGGLOB
ITN-Info,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/private/en/processestools/supportbusiness/NCLB20070206084720/NCLB20070206091541/MCHL20051102093635/MCHL20051107103602/MRKS20050721124509
ITOrdering,Kastnejr,https://epm.siemens.com/prj02/1687/default.aspx
Jobs,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/icms-deeplink-pages?deeplink=https://pgneteu.eps.siemens.com/cms.nsf/home?opennavigator&loadRefNo=JMSM20070308145158
JWASDeployment,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/servers/Apache%20Tomcat/Deployment_procedures
jwasroadmap,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/09%20%2d%20Strategic%20Tool%20Evaluation%20Process%20STEP%2fProjects%2fJava%20Web%20Application%20Server%20Roadmap%202010
knowledgecenter,???,https://defthw9909iweb.ww002.siemens.net/kpath50/Default.aspx
KPI-AccountReceivableOverdueFactor LanguageServices,???,https://webfocus-energy-dev02.eps.siemens.com/ibi_apps/WFServlet?IBIMR_action=MR_RUN_FEX&IBIMR_sub_action=MR_STD_REPORT&IBIMR_defer_params=null&IBIMR_fex=app%2Fot34_get_kpi_description_vw.fex&IBIMR_domain=efpronep%2Fefpronep.htm&IBIMR_folder=%23brucegqclu9s&KPI_NUMBER=FICO.001
LanguageServices,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/processestools/office/ANNB20050503105623/JNTG20050527154519
Learn@Siemens,???,https://www.learnatsiemens.com/Saba/Web/SPG
Lotus,Kastnejr,https://workspace.ww007.siemens.net/content/00000558/Lotus/Document%20Library/Forms/AllItems.aspx
MakeITEasy,Macer00T,https://blogs.eps.siemens.com/sebs/makeITeasy-en/
Mobile,assamjl,https://workspace-orla.ww007.siemens.net/content/10006360/default.aspx
MobileDesk,Kastnejr,https://workspace-orla.ww007.siemens.net/content/10006360/pages%202/Siemens%20Energy%27s%20Loaner%20Program.aspx
MobileSense,hyde000n,http://www.wirelesstems.com/sei
MobileSharepoint,assamjl,https://workspace-orla.ww007.siemens.net/content/10006360/default.aspx
MobilSense,Hall002J,https://www.wirelesstems.com/sei/common/login
nerc,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/private/en/processestools/security/ANNP20101217135659/ANNP20101217135659_h
ninerules,Kastnejr,file://ww007/e72k/Docs/energyline/Articles/Nine_rules_communication.pdf
NonSAPCCC,Kastnejr,https://workspace-orla.ww007.siemens.net/content/10005772/ops/Change%20Control%20NonSAP%20Client%20Server/2011%20Agenda%20and%20Minutes/
OLQR,???,http://www.orla.siemens.com/domino/reference/OLQRGLED.nsf/web+pages/olqr+home?OpenDocument
OnBoarding,Kastnejr,https://epm.siemens.com/prj02/1687/default.aspx
OneP,Hall002J,http://onep.ww007.siemens.net/
OneP-Project,Baum000B,https://epm.siemens.com/wss-pg/pg_323/default.aspx
onlineticketDE,Kastnejr,https://servicedesk.ww007.siemens.net/arsys/shared/login.jsp?/arsys/apps/homer.ww007.siemens.net/Remedy+Requester+DE/Remedy+Requester/Requester%20SD%20DE-PG
onlineticketNA,Kastnejr,http://eservice/RequestCenter/myservices/myservice.do?resetBN=true
operatingsystems,Kastnejr,https://itn.siemens.com/itaa/app/portal.jsp?model=PGGLOB&modelview=PGGLOB&view=L&type=FUNCTIONALDOMAIN&name=02%20-%20Operating%20Systems
PME13,nierh00c,https://workspace.ww007.siemens.net/content/00000731/cadquality/default.aspx
quality,arnol00b,https://intra1.siemens.com/corporate_quality_management/en/mandatory_elements_tools.htm
SafetyExcellence,arnol00b,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=CNND20110715173539&lang=en
SAM,Kastnejr,https://cio.siemens.com/cms/cio/en/procurement/ls/Pages/sam.aspx
SAPTVCerts,Kastnejr,https://intranet.wss02.ptd.siemens.de/content/10003463/SAPDev/Development_Projects/Configuration/Selfsigned%20ID%27s%20for%20SAP%20Logon%20Ticket%20verfication
sdqa,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Meetings1/Technology%20Forum%20-%20Software%20Development%20Technology%20and%20Quality
SDQAForumMinutes,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Meetings1/Technology%20Forum%20%2d%20Software%20Development%20Technology%20and%20Quality/Meeting%20Minutes
SecurePro,kasin00t,https://securepro-prod.energy.siemens.com/SecurePro/
SecurePro-dev,kasin00t,https://securepro.energy.siemens.com/SecurePro/
SecurePro-doc-1P-DE,kasin00t,https://defthw9909iweb.ww002.siemens.net/onep/DE/Admin/Secure_Pro/PlayerPackage/toc0.html
SecurePro-doc-1P-EN,kasin00t,https://defthw9909iweb.ww002.siemens.net/onep/en/Admin/Secure_Pro/PlayerPackage/toc0.html
SecurePro-doc-DV2,kasin00t,https://workspace-orla.ww007.siemens.net/content/10005772/ops/SAP%20Security%20Council/SecureProvisioning/SecurePro%20Docs/Requestor%20Instructions.doc
SecurePro-doc-PD2,kasin00t,https://workspace-orla.ww007.siemens.net/content/10005772/ops/SAP%20Security%20Council/Security%20Council%20Procedural%20Documentation/SecurePro%20Procedures/SecurePro%20-%20Requestor%20Instructions.doc
SecurePro-doc-PT2,kasin00t,https://workspace-orla.ww007.siemens.net/content/10005772/ops/SAP%20Security%20Council/SecureProvisioning/SecurePro%20Docs/SP%20-%20PT2%20user%20document.mht
SecurePro-PD2,kasin00t,https://securepro-prod.energy.siemens.com/SecurePro/faces/home.jsp?sys=PD2
SecurePro-test,kasin00t,https://securepro-onep.energy.siemens.com/SecurePro/
security,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=KRHN20041006100724&lang=en
SEMS,???,http://intra.sc.siemens.com/sems/energy.php
ServiceCommunications,arnol00b,https://workspace.ww007.siemens.net/content/10006955/default.aspx
ServiceDesk-KnowledgeBase,Macer00T,http://servicerequest.us001.siemens.net/RequestCenter/myservices/navigate.do?query=serviceid&sid=1753&
ServiceEHS,arnol00b,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=CNND20110712073819&lang=en
SGI,Kastnejr,https://workspace-orla.ww007.siemens.net/content/10007428/default.aspx
SiemensAndMe,???,https://intranet.gss.siemens.com/askhrondemand
SiemensCares,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=HRLD20060407143958&lang=en
SigmaPlus,Hall002J,https://sigmaplus.ww007.siemens.net/Pages/Default.aspx
SIPA,Kastnejr,https://workspace-orla.ww007.siemens.net/content/10003495/default.aspx
SMFocusGroup,Kastner,https://workspace-orla.ww007.siemens.net/content/00000978/smg/smfg/default.aspx
SMGuidelines,Kastnejr,https://pgnetna.eps.siemens.com/cms/bin.nsf/602A5E07B7DF8C3E852576B2007B97CD/$file/SEI_SocialMedia%20Policy_1.pdf
socialmedia,Kastnejr,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=BRBR20090312164617&lang=en
SocialMediaGroup,Kastnejr,https://workspace-orla.ww007.siemens.net/content/00000978/smg/default.aspx
SocialMediaRoadmap,Kastnejr,https://workspace-orla.ww007.siemens.net/content/00000830/Social Media Roadmap/Forms/AllItems.aspx
SoftwareDevQATechForum,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Meetings1/Forms/AllItems.aspx?RootFolder=%2Fcontent%2F10002164%2FMeetings1%2FTechnology%20Forum%20%2D%20Software%20Development%20Technology%20and%20Quality
SoftwareTraining,???,http://usorl01p123.ww007.siemens.net/energytraining/DefaultEnergy.aspx
SPA,Kastnejr,https://portal2.bcdtravel.com/siemensnam
SPARC,Hall002J,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=MNKW20050323094938&lang=en
STDGDeliverables,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/ST3_Status/Doclib/Forms/AllItems.aspx
STE,???,https://ilbseh7ala.ww007.siemens.net/Pages/General.aspx
step,Kastnejr,https://workspace.ww007.siemens.net/content/10002164/Doclib/09%20%2d%20Strategic%20Tool%20Evaluation%20Process%20STEP
subversion,Kastnejr,https://usorl01p121.ww007.siemens.net/
SWT,???,https://portal2.bcdtravel.com/siemensnam
Teamroom,Kastnejr,https://www.energy-workspace.siemens.com/content/exthome/default.aspx
Teamroom-Documentation,Kastnejr,https://intranet.wss02.ptd.siemens.de/content/00001603/default.aspx
Teamroom-Setup,Kastnejr,https://ocs.ptd.siemens.com/sharepointreq/orderform.php
technoweb,lippl00c,http://technoweb.siemens.com/
TIDRef,nierh00c,https://workspace.ww007.siemens.net/content/00000731/cadquality/PME_13_Public_Docs/Support_Resources/Active_TitleID_X_Ref_Table/Active_TitleID_X_Ref_Table_latest.xls
TomcatMigration,Kastnejr,http://usorl02p125.ww007.siemens.net/sites/ITDCL/PGITDocs/projects/IT36%20Team/Websphere%20-%20Tomcat
top+,???,http://topplus.siemens.com/award2011
webcoc,helwi00s,http://uslzua4003xweb.ww007.siemens.net:16000/sites/webcoc/SitePages/Home.aspx
webfocus,Kastnejr,https://workspace-orla.ww007.siemens.net/content/00000933/default.aspx
webfocus-community,Kastnejr,https://workspace-orla.ww007.siemens.net/content/00000933/default.aspx
WebLOP,???,https://workspace2.ww007.siemens.net/content/10004955/default.aspx
WINS,Hall002J,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/bookmarks?loadRefNo=DBRA20050329111122&lang=en
workorder,Kastnejr,https://workorder.cbre.com/CRSSIEMENS
WRG,???,https://intranet-energy.eps.siemens.com/irj/portal/ei/public/en/aboutus/initiativesandprograms/KTHR20081110160346/DBRA20050329111122/DBRA20050329111122_h
Yammer,nierh00c,http://www.yammer.com/login
youanswered,???,https://www.siemensyouanswered.com
